sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
146	weighted	CTCN	0tp	AS2002	AS2001	SB	TY	among sites	0.11510147089295865
147	weighted	CTCN	0tp	AS2002	AS2005	SB	TY	among sites	0.1877308745170833
148	weighted	CTCN	0tp	AS2002	AS2007	SB	SB	within SB	0.1875075572357828
149	weighted	CTCN	0tp	AS2002	AS2003	SB	SB	within SB	0.12892969493009865
150	weighted	CTCN	0tp	AS2002	AS2008	SB	TY	among sites	0.19725115553929706
151	weighted	CTCN	0tp	AS2002	AS2010	SB	SB	within SB	0.16095683541885386
152	weighted	CTCN	0tp	AS2002	AS2006	SB	SB	within SB	0.17433259174673393
153	weighted	CTCN	0tp	AS2002	AS2009	SB	TY	among sites	0.16640377338319295
154	weighted	CTCN	0tp	AS2001	AS2005	TY	TY	within TY	0.18720641446162
155	weighted	CTCN	0tp	AS2001	AS2007	TY	SB	among sites	0.20887826607703291
156	weighted	CTCN	0tp	AS2001	AS2003	TY	SB	among sites	0.16480149091260535
157	weighted	CTCN	0tp	AS2001	AS2008	TY	TY	within TY	0.2397357046216808
158	weighted	CTCN	0tp	AS2001	AS2010	TY	SB	among sites	0.19792896179826072
159	weighted	CTCN	0tp	AS2001	AS2006	TY	SB	among sites	0.18642403117141165
160	weighted	CTCN	0tp	AS2001	AS2009	TY	TY	within TY	0.15552193380728732
161	weighted	CTCN	0tp	AS2005	AS2007	TY	SB	among sites	0.12699326046739912
162	weighted	CTCN	0tp	AS2005	AS2003	TY	SB	among sites	0.15097081046565114
163	weighted	CTCN	0tp	AS2005	AS2008	TY	TY	within TY	0.13417784611703718
164	weighted	CTCN	0tp	AS2005	AS2010	TY	SB	among sites	0.1672137289624307
165	weighted	CTCN	0tp	AS2005	AS2006	TY	SB	among sites	0.09988464528532663
166	weighted	CTCN	0tp	AS2005	AS2009	TY	TY	within TY	0.14344038297500286
167	weighted	CTCN	0tp	AS2007	AS2003	SB	SB	within SB	0.13374693543000432
168	weighted	CTCN	0tp	AS2007	AS2008	SB	TY	among sites	0.11375083516190344
169	weighted	CTCN	0tp	AS2007	AS2010	SB	SB	within SB	0.17677358570836518
170	weighted	CTCN	0tp	AS2007	AS2006	SB	SB	within SB	0.1177162558958584
171	weighted	CTCN	0tp	AS2007	AS2009	SB	TY	among sites	0.17428336838339475
172	weighted	CTCN	0tp	AS2003	AS2008	SB	TY	among sites	0.17812227630313446
173	weighted	CTCN	0tp	AS2003	AS2010	SB	SB	within SB	0.1251576946746186
174	weighted	CTCN	0tp	AS2003	AS2006	SB	SB	within SB	0.143158702778068
175	weighted	CTCN	0tp	AS2003	AS2009	SB	TY	among sites	0.14005376150508955
176	weighted	CTCN	0tp	AS2008	AS2010	TY	SB	among sites	0.17824031751554895
177	weighted	CTCN	0tp	AS2008	AS2006	TY	SB	among sites	0.14721071716634004
178	weighted	CTCN	0tp	AS2008	AS2009	TY	TY	within TY	0.18571945494962933
179	weighted	CTCN	0tp	AS2010	AS2006	SB	SB	within SB	0.17537990807887205
180	weighted	CTCN	0tp	AS2010	AS2009	SB	TY	among sites	0.11748207318006487
181	weighted	CTCN	0tp	AS2006	AS2009	SB	TY	among sites	0.16570058610602584
