sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
695	unweighted	CTCN	0tp	AS2002	AS2001	SB	TY	among sites	0.3450256864352018
696	unweighted	CTCN	0tp	AS2002	AS2005	SB	TY	among sites	0.5085621217220558
697	unweighted	CTCN	0tp	AS2002	AS2007	SB	SB	within SB	0.4478103944029993
698	unweighted	CTCN	0tp	AS2002	AS2003	SB	SB	within SB	0.42160197711830016
699	unweighted	CTCN	0tp	AS2002	AS2008	SB	TY	among sites	0.4445819711946728
700	unweighted	CTCN	0tp	AS2002	AS2010	SB	SB	within SB	0.4446789060152144
701	unweighted	CTCN	0tp	AS2002	AS2006	SB	SB	within SB	0.4898539607485874
702	unweighted	CTCN	0tp	AS2002	AS2009	SB	TY	among sites	0.5192274311004154
703	unweighted	CTCN	0tp	AS2001	AS2005	TY	TY	within TY	0.4856840607627201
704	unweighted	CTCN	0tp	AS2001	AS2007	TY	SB	among sites	0.4446251789292126
705	unweighted	CTCN	0tp	AS2001	AS2003	TY	SB	among sites	0.4516986196824766
706	unweighted	CTCN	0tp	AS2001	AS2008	TY	TY	within TY	0.4548334824802169
707	unweighted	CTCN	0tp	AS2001	AS2010	TY	SB	among sites	0.5337572942382884
708	unweighted	CTCN	0tp	AS2001	AS2006	TY	SB	among sites	0.4759360312390598
709	unweighted	CTCN	0tp	AS2001	AS2009	TY	TY	within TY	0.5031210241136662
710	unweighted	CTCN	0tp	AS2005	AS2007	TY	SB	among sites	0.3953875419377784
711	unweighted	CTCN	0tp	AS2005	AS2003	TY	SB	among sites	0.5307699267980832
712	unweighted	CTCN	0tp	AS2005	AS2008	TY	TY	within TY	0.4258569674227187
713	unweighted	CTCN	0tp	AS2005	AS2010	TY	SB	among sites	0.5400453706101669
714	unweighted	CTCN	0tp	AS2005	AS2006	TY	SB	among sites	0.4034590726755126
715	unweighted	CTCN	0tp	AS2005	AS2009	TY	TY	within TY	0.4586662353352496
716	unweighted	CTCN	0tp	AS2007	AS2003	SB	SB	within SB	0.4918394156118924
717	unweighted	CTCN	0tp	AS2007	AS2008	SB	TY	among sites	0.35302467951122896
718	unweighted	CTCN	0tp	AS2007	AS2010	SB	SB	within SB	0.5760701614002147
719	unweighted	CTCN	0tp	AS2007	AS2006	SB	SB	within SB	0.4100039903496392
720	unweighted	CTCN	0tp	AS2007	AS2009	SB	TY	among sites	0.510825426884401
721	unweighted	CTCN	0tp	AS2003	AS2008	SB	TY	among sites	0.4926646159180894
722	unweighted	CTCN	0tp	AS2003	AS2010	SB	SB	within SB	0.4895444620119228
723	unweighted	CTCN	0tp	AS2003	AS2006	SB	SB	within SB	0.5230183192961319
724	unweighted	CTCN	0tp	AS2003	AS2009	SB	TY	among sites	0.5424920101953923
725	unweighted	CTCN	0tp	AS2008	AS2010	TY	SB	among sites	0.5409955917913091
726	unweighted	CTCN	0tp	AS2008	AS2006	TY	SB	among sites	0.4907678693916454
727	unweighted	CTCN	0tp	AS2008	AS2009	TY	TY	within TY	0.5153233961149276
728	unweighted	CTCN	0tp	AS2010	AS2006	SB	SB	within SB	0.5516947480259533
729	unweighted	CTCN	0tp	AS2010	AS2009	SB	TY	among sites	0.4333031238233127
730	unweighted	CTCN	0tp	AS2006	AS2009	SB	TY	among sites	0.4859757858453394
731	unweighted	CTN	0tp	AS2012	AS2011	TY	SB	among sites	0.3975107750798249
732	unweighted	CTN	0tp	AS2012	AS2013	TY	TY	within TY	0.4241300057928669
733	unweighted	CTN	0tp	AS2012	AS2015	TY	SB	among sites	0.4607494655652637
734	unweighted	CTN	0tp	AS2012	AS2016	TY	TY	within TY	0.4914368685328505
735	unweighted	CTN	0tp	AS2012	AS2020	TY	TY	within TY	0.4789526678165468
736	unweighted	CTN	0tp	AS2012	AS2018	TY	SB	among sites	0.5038085687110389
737	unweighted	CTN	0tp	AS2012	AS2019	TY	SB	among sites	0.5225117818798404
738	unweighted	CTN	0tp	AS2012	AS2014	TY	SB	among sites	0.458163492719865
739	unweighted	CTN	0tp	AS2012	AS2017	TY	TY	within TY	0.4702347844346021
740	unweighted	CTN	0tp	AS2011	AS2013	SB	TY	among sites	0.4733698709708442
741	unweighted	CTN	0tp	AS2011	AS2015	SB	SB	within SB	0.3522853926505006
742	unweighted	CTN	0tp	AS2011	AS2016	SB	TY	among sites	0.471441655637568
